toi,tfopwg_disp,pl_tranmid,st_tmag,st_logg,TESS Mag,tfopwg_disp_encoded,ratio_eqt_teff,ratio_pl_orbper,ratio_pl_eqt,st_mass_est,log_pl_rade,log_pl_eqt,log_pl_orbper,log_TSM,log_st_teff,log_st_rad,log_Predicted Mass (M_Earth),log_pl_trandurh,log_pl_trandep,log_pl_insol,log_st_dist,log_ESM,log_ratio_pl_st_rad,log_ratio_rade_eqt
101.01,KP,2458326.009,12.4069,4.48851,12.4069,1,0.2724830015584851,9.219601922829948,0.0086423807131193,0.8912046366507932,2.6523577921517854,7.330997964703139,0.8880434679900525,5.351384087484729,8.630700432209832,0.6369862690490862,4.755226782194771,0.9618755357894071,9.85017708238526,7.156364470852863,5.9304132717878835,4.475061500641071,2.6949291187096995,-4.750961486458011
102.01,KP,2460187.917,9.7109,4.32092,9.7109,1,0.2242038216203496,3.50653096094624,0.0109876420376508,1.11795188698471,2.8015769733984928,7.25063551189868,1.6886072172639306,5.19295685089021,8.74528448245438,0.7929925155296614,5.762051382780177,1.536867219599265,9.619996684702816,6.483492598341005,5.174062810703723,4.93014804318357,2.5483203407358737,-4.510893081654266
103.01,KP,2458327.253,11.5232,4.22896,11.5232,1,0.2369483471521101,4.110044237997325,0.0096898390119822,1.21101199284902,2.7461061977749717,7.317118747267268,1.5146554733501414,4.922896379788249,8.756525002926972,0.8754687373538999,4.768563732896527,1.5028172698163549,9.251997710299632,7.100855516522044,6.021535354175013,3.885679030088544,2.3433041325739414,-4.636574271483877
104.01,KP,2460150.609,9.8638,3.93359,9.8638,1,0.2907681805349953,3.333199063654935,0.0077624943099425,1.5406633647159529,2.682648505838797,7.470837473695806,1.626746373057423,4.817050545023591,8.705662478796427,1.1689681996833685,4.81014976667463,1.8849633414140277,8.181208785786135,7.715730261683156,5.761038291159764,3.977810745966149,1.8149081360794772,-4.858322748467579
105.01,KP,2459084.585,9.4995,4.37759,9.4995,1,0.2752115416917919,6.27228179624006,0.008843739689366,1.3339269021361364,2.6880415361817365,7.3462946726757306,1.158347699567399,6.068657042937888,8.636042325254618,0.8056898427459833,4.819878258481199,1.3520341244347764,9.368115007337128,7.217544778725093,4.931187964705446,5.23750522715128,2.403912303661537,-4.7279323820616925
106.01,KP,2460201.639,10.3157,4.438,10.3157,1,0.2701449274970804,5.751033513038873,0.0087912553600905,3.1324121902493403,2.855717049105636,7.5310163320779155,1.3479127458255142,4.68213122712422,8.839421607620602,1.0188473201992472,5.762051382780177,1.518856534202862,8.99342737041261,7.604311641671172,5.901022747486412,4.493120682179469,2.2255022316030586,-4.733884017706322
107.01,KP,2460176.993,9.6433,4.18077,9.6433,1,0.2551600844701511,5.198645800829719,0.0130800636859362,1.6169425641180963,3.0697120232018444,7.359467638255621,1.5994281414144007,5.5943395632748185,8.724857555881988,0.9969486348916095,5.762051382780177,1.6945140847892195,9.54072267395999,6.918081776699441,5.35758106272513,5.200153117760806,2.48567096292968,-4.336589614704748
108.01,KP,2458328.084,13.163,4.52192,13.163,1,0.1946982534501723,3.9778123267216814,0.0112605524844265,0.7955744936870891,2.5732745985789935,6.981301657900465,1.3972476789124615,4.758749273916392,8.616857514529183,0.5932539144415501,4.611549792952131,1.2805052814193902,10.009513590984525,5.758861181886244,6.047029330682385,3.6913763343125234,2.7048053822131797,-4.486360789715431
109.01,KP,2458326.127,13.2366,4.48823,13.2366,1,0.2262577857788519,4.440838547312182,0.0101579048825617,1.0887211562038286,2.5867664626296087,7.098850007878065,1.3262152155042588,4.476199804691132,8.584290934948731,0.6855514055632719,4.636087288622813,1.3048721899238998,9.612362143934261,6.228282195365296,6.242244666004382,3.5524868292083815,2.523769295022325,-4.5894046297906925
110.01,KP,2458328.04,11.6714,4.42524,11.6714,1,0.2222197245124987,4.699298760685411,0.0112953507721805,1.2998227471634778,2.7674018938724356,7.186637614316332,1.4289587533826298,4.382026634673881,8.690137586397595,0.768746183431833,5.762051382780177,1.3220453980563338,9.645902956632309,6.579125786644669,5.83813852715528,4.276666119016055,2.5566335339271498,-4.48327554593536
111.01,KP,2458326.105,13.183,4.4337,13.183,1,0.2431304373154032,6.213623394523268,0.010004934444929,0.8760560450124472,2.6452432998451796,7.1770506622690435,1.1333862385826516,4.746669748261791,8.59062950948942,0.6630471869007402,4.742407204293176,0.9037700340563135,9.404526585372912,6.540803144167319,6.234100873797654,3.8712010109078907,2.632742788290966,-4.604576917513739
112.01,KP,2460069.774,11.6035,4.28867,11.6035,1,0.2477857411950821,5.541085676993597,0.0098940812795659,0.9169966000409592,2.698108229747435,7.244934007407804,1.2527057097132581,5.19295685089021,8.639587799629844,0.759552707756557,4.838105639764771,1.3520059242689628,9.59029660837846,6.812193729147013,5.715210261388502,4.356708826689592,2.4997260061137747,-4.615717485755594
113.01,KP,2458327.053,12.1893,4.45061,12.1893,1,0.2099483384776944,4.210588998475486,0.0111808717769813,1.0708847061260884,2.7214140392386748,7.14770674103908,1.4754211448913708,4.231203744939298,8.707978826622321,0.7030975114131134,5.762051382780177,1.2904055139198787,9.750604646493972,6.423516279537436,6.108440590567068,4.065602093356446,2.633565392512039,-4.493461403356209
114.01,KP,2458327.52,10.6103,4.28004,10.6103,1,0.2308343559946837,3.1967943050679906,0.007852763185988,1.0716197523557205,2.443527877031617,7.200304934257664,1.45600459524073,5.10230248262208,8.665785595466064,0.8072568108500199,4.374120463102784,1.4899270173880639,8.854625651161346,6.633762220713218,5.38231838361426,4.014579593753238,2.1361461250366007,-4.846762475306875
115.01,KP,2458329.903,13.0417,4.42476,13.0417,1,0.1805159195498389,2.224750066522619,0.0108697934612828,0.7469142680884556,2.446736708380674,6.878979292848096,1.747872173830798,4.375757021660286,8.59007183682881,0.629986376600737,4.380024632003209,1.2524241968330134,9.445555649125897,5.3507670374994145,6.119875351871192,3.091042453358316,2.486762396973306,-4.521675584994865
116.01,KP,2458326.689,11.0443,4.49371,11.0443,1,0.221371100971266,4.270556559159334,0.0109732775010297,0.934386369669013,2.561211557505792,6.994066743340056,1.334627365335723,5.550242719287699,8.501267040865978,0.6453503978237575,4.589447225522855,1.2179065670069953,9.723745577757779,5.809811513802395,5.01689565706707,4.633757642840004,2.5788489839392272,-4.512201153529137
117.01,KP,2459063.656,11.7806,3.84,11.7806,1,0.2907010797414981,4.593808092647759,0.0099341807355996,1.013690774959945,2.860757617067913,7.414206259936303,1.5230727702261504,3.8088822465086327,8.649238480335457,1.1000812092757846,5.762051382780177,1.4750133896589859,8.653527472326815,7.489186006529867,6.405154075099211,3.7111300630487563,2.1064794491753234,-4.611673211337123
118.01,CP,2460175.749,9.179,4.36763,9.179,1,0.1410669530717746,0.7358213219038359,0.0056348857796511,0.9374345824659536,1.6938323682705159,6.670766320845874,1.9508218810119995,4.671893818030999,8.628197749459149,0.7178397931503169,2.952302715626655,1.0612565021243408,7.496097345175956,4.1784528404064245,4.555684730159425,2.803360380906535,1.4419288095478042,-5.178600951359174
